Name,Membership,Category,Description,Address,Phone
 PT. Mahkota Mas Mandiri Mulia,Gold Member,AC Industri dan Komponen (699),"  Profil Perusahaan  PT. Mahkota Mas Mandiri Mulia berdiri pada tahun 1999. 
Kami menjual mesin plastik dan mesin mesin supporting untuk mesin plastik seperti :1. Chiller : Water Cooled Screw Type, Water Cooled Type, Air Cooled Screw Type, Air Cooled Type                                                   2. Crusher                                                                              3. Auto Loader   4. MTC              5. Mixer : Vertical Mixer, Horizontal Mixer, High Speed Drying Mixer 6. Hopper Dryer   7. Rack mould and many more
                                 Selain mesin mesin supporting kami juga menyidiakan spare parts seperti :1. Screen Filter 2. Magnet Separator3. Piala 4. Tang heater5. Kontaktor, dll 

Kami melayani pengiriman ke seluruh daerah jabodetabek dan seluruh Indonesia. Hubungi kami untuk info lebih lanjut. ","Green Ville BG/29 Duri Kepa, Jakarta Barat, DKI Jakarta, Indonesia",+62 811-1931-898
 PT  Sanko Material Indonesia,Gold Member,AC Industri dan Komponen (699),"  Profil Perusahaan  PT Sanko Material Indonesia memiliki dua Pabrik di Cikarang dan Cibitung, Jawa Barat, Indonesia, 
Produk sudah memenuhi ROHS dan REACH, dan dipakai oleh banyak perusahaan industri multi nasional di Indonesia dan di Luar negeri.
Sistem manajemen dan produk kami berstandar ISO 9001 dari tahun 2010.PRODUK yang diproduksi, diperdagangkan dan di custom made/ finishing sesuai permintaan logo resmi Anda berupa; Protection film, Protection tape, Isolasi, isolasi listrik, isolasi listrik tahan panas, isolasi listrik nasional, 
duct tape lem, duct tape non lem, lakban ac, lakban buat ac, lakban pipa ac, lakban selang ac, lakban untuk ac, 
Lakban lantai, lakban untuk lantai, stiker, Industri sticker, sticker indonesia, Sticker motor honda, 
lakban kertas, lakban kertas untuk cat, lakban kertas 1 inch, lakban kertas 2 inch, lakban double tape, lakban double tipPABRIK & KANTOR
Kawasan Industri Jababeka 1, Jl. Jababeka XVII H Blok U 21 J, Cikarang, Bekasi, Jawa Barat, Indonesia, 17530GUDANG BONDED
MM 2100, Cibitung Industrial Estate, Block J No. 10, Cibitung, Bekasi, Jawa Barat, Indonesia 17510GUDANG NON KB
Delta Silicone Industri 3, Jalan Kapuk, Blok F23 No.6, Cicau, Cikarang Pusat, Bekasi, Jawa Barat, Indonesia, 17550 ","KAWASAN INDUSTRI JABABEKA I , JALAN JABABEKA XVII BLOK U NO 21 J , HARJA MEKAR, Cikarang, Jawa Barat, Indonesia",+62 812-9364-755
 CV. Saut Jaya Environment,Gold Member,AC Industri dan Komponen (699),"  Profil Perusahaan  Saut Jaya Environment merupakan perusahaan general contractor dan supplier umum yang bergerak dibidang Air Pollution Control and environmental service.Pekerjaan kami meliputi Design - Fabrikasi - supply - install - test - commission - maintenance dan service.Kami juga menyediakan Filter yang biasa digunakan untuk kebutuhan industri dengan berbagai jenis serta ukuran filter yang disesuaikan dengan permintaan.Adapun surat ini kami sampaikan sebagai perkenalan untuk perusahaan Bapak/ Ibu dalam memenuhi kebutuhan Perusahaan.Berikut beberapa Jenis Produk Saut Jaya Environment :1. Dust Collector ; Pulse Jet Dust collector, Portable dust collector, Shaker dust collector etc.
2. Cyclone ; Cyclone Fabrication, Double Stage Cyclone-Fine Dust, Cyclone dust collector etc.
3. Scrubbers ; Vertical Counter Current Scrubber, Horizontal Mist Eliminator, Wet Scrubber, Horizontal BOC Scrubber etc.
4. Fans ; Belt Driven Axial Fan, Various Impeller Design, Centrifugal Fan, blower etc.
5. Ducting Hood and accessories ; Hood for Pharmaceutical Industries, Hood and Ducting for Rubber Industries, Rotary Valve, Ducting System, Program Logic Control etc.
6. Filter ; Filter bag, FBD Filter, Filter Press, Nylon Mesh Filter, Wire mesh, Air Filter, Hepa Filter, filter catridge dust collector, etc.
( Material, Ukuran dan Bentuk kami sesuaikan dengan permintaan )Demikian penjelasan dari kami. Jika ada hal yang ingin diketahui lebih lanjut silahkan Bapak/ Ibu hubungi kami. Atas kerjasama yang baik kami haturkan Terima Kasih.Hormat kami,Saut FilterPabrikan dust collector, supplier dust collector, jual dust collector, jual squen dust collector.
Jual filter bag, jual spunbond microporus, jual spunbond milky, jual spunbond breathable, jual filter press, jual cyclone, jual blower, jual centrifugal fan, jual hepa filter, jual medium filter, jual pre filter, jual scrubber, jual celenoid valve, jual pressure gauge, jual ducting, jual catridge dust collector, jual filter vacuum, jual filter air, jual filter udara, jual filter ahu, jual conveyor, jual bag cage, jual cage retainer, jual filter cage, jual filter hidrolik, jual filter separator, jual filter nomex etc. ","Taman menyanggong asri no. 30, kletek, taman, sidorajo, Sidoarjo, Jawa Timur, Indonesia",+62 821-9619-8969
 PT. Permata Suksesindo Mandiri,Gold Member,AC Industri dan Komponen (699),  Profil Perusahaan  PT PERMATA SUKSESINDO MANDIRI ,"Gedung Glodok Jaya Lt.4 Blok D 27 Jalan Hayam Wuruk, Taman Sari, Jakarta Barat, Jakarta Barat, DKI Jakarta, Indonesia",+62 821-1188-7870
 Inti jaya Compressor,Gold Member,AC Industri dan Komponen (699),"  Profil Perusahaan  Kami inti jaya compressor berdiri sejak tahun 2010 dan kami menyediakan berbagai macam kompresor ac dimana kami adalah sebuah perusahaan yang berkomitmen dalam menyediakan kompresor ac dengan kualitas terbaik dan selalu memberikan pelayanan terbaik, kami merupakan suplier dan distributor kompressor ac terbessar di indonesia.

Kami adalah satu satunya penyedia kompresor terlengkap di indonesia dengan sudah memberikan layanan kepada ribuan perusahaan diantaranya hotel, mal, pabrik, gedung perkantoran, rumah sakit, dan kontraktor di seluruh indonesia dan telah menjadi rajanya penyedia kompresor ac untuk segala jenis. ","Jalan Hayam Wuruk No. 127, Mangga Besar, Tamansari, Jakarta Barat, 11180, Tamansari Jakarta Barat, DKI Jakarta, 11180, Jakarta Barat, DKI Jakarta, Indonesia",+62 813-9936-5229
 PT. Trivali Utama Indonesia,Gold Member,AC Industri dan Komponen (699),"  Profil Perusahaan  PT Trivali Utama Indonesia adalah perusahaan professional yang bergerak di bidang HVAC – parts dan service.
Kami menyediakan barang serta jasa perawatan dan perbaikan compressor HITACHI. Tersedia beragam tipe compressor/ kapasitas berikut ketersediaan spare part dan team teknisi yang handal.
Kami memahami Chiller adalah jantung bagi operasional perusahaan dan kegiatan. Dengan senang hati dan penuh tanggung jawab, kami selalu bekerja sama untuk melayani dan memberikan advise terbaik dan tercepat. ","Grand Slipi Tower, Level 42 G - 42 H, Jl S Parman Kav. 22-24, Slipi, Jakarta Barat, Jakarta Barat, DKI Jakarta, Indonesia",+62 813-2215-5594
 PT. Wirahma Karya Mandiri,Gold Member,AC Industri dan Komponen (699),"  Profil Perusahaan  PT. Wirahma Karya Mandiri didirikan sejak tahun 2019 dengan latar belakang pengalaman dan pengetahuan baik dalam distribusi dan pembuatan Air Pollution Manufacture atau Blower Industri dari produk, instalasi, dan sistem polusi Kami berkomitmen dalam solusi kebutuhan Air Pollution System Anda. Perusahaan Kami berdomisili di Graha Harapan Regency Blok E1 No. 34 Rt 04 Rw 12 Babelan Kota Kec. Babelan Bekasi 17610 ","Graha Harapan Regency Blok E1 No. 34 Rt 04 Rw 12 Babelan Kota Kec. Babelan, Bekasi, Bekasi, Indonesia",+62 812-9441-5277
 PT. Sumber Sarana Agung 2,Diamond Member,Adaptor dan Socket (414),"  Profil Perusahaan  Pt. Sumber Sarana Agung (Rekomendasi & Rekanan Pertamina) Adalah Perusahaan Perdagangan Pipa, Plat Besi/ Sus, Fitting, Valve, Insulation Dan Berbagai Barang Tehnik.Welcome To Supplier, Reseller, Retailer, Dealer, Contractor Tender / Pengadaan, Procurement Lpse, As Well As Supplier For Oil Companies (Pertamina, Chevron, Medco, Petrochina, Caltex, Shell, Total, Etc) Pipa Seamless""Dalam Memilih Pipa Dibutuhkan Pemahaman Yg Cukup (Pipe Distributor). Baik Bahan Baku, Fungsi Maupun Aplikasinya. Sesuaikanlah Dgn Kebutuhan Seperti, Untuk Saluran Air Bersih, Kotoran Atau Pembuangan Limbah. Hal Lain Yg Perlu Diperhatikan Adalah, Faktor Tekanan Air. Semakin Besar Tekanannya, Maka Haruslah Menggunakan Pipa Industri Yg Memiliki Kekuatan Lebih.Mengapa Memilih Pipa Industri Hdpe ? Berikut Ini Adalah Keunggulan Dari Pipa Industri Hdpe ( High Density Polythylene ) / Pipa Pe , Khususnya Untuk Perpipaan, Baik Untuk Industri, Perumahan, Dan Lain - Lain.- Fleksible, Pipa Hdpe Merupakan Pipa Dgn Daya Lentur Yg Tinggi, Sehingga Dapat Digunakan Didaerah Berbukit, Rawan Gempa, Dan Daerah Rawa.- Tahan Terhadap Retak, Pipa Hdpe / Pipa Pe Terbuat Dari Bahan Polyetheline Yg Memiliki Sifat Crack Resistance Yg Tinggi.- Tahan Terhadap Bahan Kimia, Pipa Hdpe Memiliki Daya Tahan Yg Istimewa Terhadap Berbagai Bahan Kimia, Baik Dalam Kondisi Asam Maupun Basa Kuat.- Tahan Karat, Pipa Hdpe Dibuat Dari Material Polyetheline Yg Berisifat Non Corrosive.- Ketahanan Masa Pakai, Pipa Hdpe Pe 100 Memiliki Daya Tahan Sampai Dgn 50 Tahun.- Tahan Terhadap Segala Cuaca, Pipa Hdpe Memiliki Ketahan Terhadap Cuaca Yg Ekstrem.- Tahan Abrasi Dan Sedimentasi, Karena Sifat Permukaan Dalam Pipa Hdpe Yg Licin, Sehingga Tidak Memungkinkan Terjadinya Abrasi Dan Sedimentasi- Tidak Beracun Dan Dan Aman Digunakan Untuk Instalasi Air Bersih- Memiliki Bobot Yg Ringan, Pipa Hdpe Memiliki Bobot Yg Jauh Lebih Ringan Dibandingkan Pipa Besi Sehingga Dalam Proses Transportasi Lebih Murah- Tahan Terhadap Suhu Rendah, Pipa Hdpe Memiliki Brittleness Point (Titik Rapuh) Jauh Dibawah 0 Derajat Selcius, Karena Itu Tidak Ada Masalah Dalam Pemasangan / Penggunaan Di Suhu Yg Rendah.List Of Products : P I P E
Pipa Seamless
Pipa Scafolding
Pipa Galvanis
Pipa Sumitomo
Pipa Stainless Steel
Pipa Hitam Welded
Pipa Carbon Steel
Pipa Special MaterialsOrigin : 
Japan   : Sumitomo, Jfe, Nippon Steel
Europe : V & M
Others  : Istw, China, Bakrie PipeP L A T E
Plat Hitam
Plat Stainless
Plat Alumunium
Plat Putih
Plat Galvanis
Plat Kapal (Krakatau Steel) 
Plat Special Materials Astm, Din, Jis, Bs Pipeline Series In Butt Weld, Socket Weld, Grooved And Threaded.Pipe Fitting : 
Elbows, Tee, Cross, Reducer, Cap, Bend, Coupling, Nipple, Olet, Stub End, Etc.Flange : 
Welding Neck, Slip On, Threaded, Socket Welding, Blind, Orifice, Ring Joint, Etc.Valve : 
Gate Valve, Globe Valve, Check Valve, Butterfly Valve, Ball Valve, Angle Valve, Cast Steel Valve, Forged Steel Valve, Plug Valve, Etc.
Material : Stainless Steel, Carbon Steel, Alloy SteelFitting
Flange Slip On, Welding Neck
Blind Flange
Others Fittings
Brand : Rf, China, Ulma, Metalfar, Wilhemgeldbach, Enara, Shinsei, San EngValve (Kitz, Tenaris, Mega, Benkan) 
Foot Valve
Cast Carbon Steel (Wcb) 
Cast Iron Check Valves
StockhamironcheckElbow
Elbow 90/ 45
Spiral Wound Gasket
Carbon
Stain
Wire MeshInsulation
Glass Wool Insulation
Glass Wool Blanket
Glass Wool Pipe
Glass Wool Board
Rockwool Insulation
Rockwool Pipe
Tombo Brand.For Inquiry : 
Pt. Sumber Sarana Agung
Jl. Pangeran Jayakarta, Komplek 68 Blok A, No: 15
Telp : (021) 6257073, 6393073, 6006839
Fax : (021) 6392410 ","Jl. Pangeran Jayakarta, Komp. 68 Blok A No.15, Jakarta Pusat, DKI Jakarta, Indonesia",
 Toko Sinar Jakarta Electric,Diamond Member,Adaptor dan Socket (414),"  Profil Perusahaan  Selamat datang di toko Sinar Jakarta Electric.Toko kami telah berpengalaman selama lebih dari 20 tahun.
Toko kami bergerak dalam penjualan segala jenis spealisasi lampu dan perlengkapan electrikal.
Adapun lampu yang kami jual meliputi :
•	lampu sorot
•	lampu jalan
•	Lampu menara
•	Lampu tower 
•	Lampu stadion bola
•	Lampu lapangan tennis
•	Lampu lapangan badminton
•	Lampu Induksi
•	Lampu LVD
•	Lampu Running Text
•	Lampu Taman
•	Lampu Trafic
•	Lampu Emergency
Kami berlokasi di pusatnya segala keperluan alat alat listrik paling terkenal dijakarta, yaitu berlokasi  di pasar kenari lama jakarta pusat, sangat cocok sebagai “ PARTNER DAN MITRA BISNIS TERPERCAYA "" bagi perusahaan Bapak/ Ibu.
BRAND : Phillips, Osram, GE, Hitachi, Samsung, Panasonic, Toshiba, Venture, Sylvania, Iwasaki, Samyung, Koto, Sakura, Yamasaki, Zetalux, Fatro, Cityson, Cyber, Himawari, Yumiko, OSKA, Autolux, Skylux, Audalux, Duralux, Oulex, Vacolux, Brilliant, Visalux, Megalux, Starlight, Megaman, Leuch Tech, Seiko, Philco, Ushio, Slast, Shinyoku, Pallazoli, Warom, Gewiss, ATEX, IECEX, LVD, Hippo, Hokito, Hokistar, Fuchison, Tazen, Taxing, Fausta, Bossecom, Artolite, Interlite, Samcom, CMOS, Oshima, Chiyoda, Mikawa, Takelite, Suwilite, Evaco, Velalux, Glamox, Selcon, Kagasel, Kawamura, Sankyo Denki, Hannochs, Heles, Hella, Preco, Thorn, Lecco, Surapong, Sinseng, Lasting, Lukury, Eurution, Topflash, Maxspid, PNE, Powercraf, Metosu, Nordland, Nerolight, M-Fith, King LED, Tectar, TGS+ , Vossloh, VYBA, ABG, ACC, Osiwa, Osaka, Halopika, Stocchi, Optima, Hinode, Pleomax, Imex, Samsang, Top light, FSL, Hanaulux, OCTOPUS, Weleh Allyn, Hybec, Highlight, Surya, Hori, Sunfree, Wakamoto, Royalux, Neolus, Nikkon, Kino Flo, Lee Filters, Lig Man, Icon, Cosmos, Shemsco, Kinogawa, Oka, Fort, Pithon, Berker, Lumitek, Uticon, Fumagalli, NC, GOQ, Fonstin, ANX, Anylux, LG Innotek, Samsung LED, SS Light, HiLed, Meiwa, Duralite, Hinolux, Miyalux, Benelux, Okasiwa, Sujicon, Viga, Topstar, Brevan, Cardi Lite, Luxury, Fantas LED, BlueStar, Hitech, ADL, ASSA, MARC, Venus, Rise, Starlux, SkyLED, Storm, Opple, ORORA, Light+ , Artalux, Spectra, KIM, HOLIC, Centurion, EP Solar, MIKIYO, Henseki,Lumenlite,Ledionopto,Venus, dll
""TOKO SINAR JAKARTA ELECTRIC - PUSAT LIGHTING & ELECTRICAL KENARI, PARTNER & MITRA BISNIS TERPERCAYA UNTUK SOLUSI TERPADU KEBUTUHAN BISNIS ANDA "" ","Gedung. Kenari Baru Lantai 2,  Blok E No. 5,  Jl. Salemba Raya No. 2, Jakarta Pusat, DKI Jakarta, Indonesia",+62 896-0844-1365
 PT. Oscar Tunastama Indonesia,Gold Member,Adaptor dan Socket (414),"  Profil Perusahaan  PT. Oscar Tunastama Indonesia adalah perusahaan trading dibidang elektrikal dan distributor Schneider di Indonesia dengan produk low voltage breaker component yaitu ACB Masterpact, MCB Domae, MCB Acti9,  MCCB Easypact EZC, MCCB Compact NS, MCCB Compact NSX, MCB Box Domae & Mini Pragma, RCBO, RCCB, ELCB, Contactor, Motor Starter , Relay & Control, Variable Speed Drive & Soft Starter, Power Supply, Industrial Socket & Plug, Surge Arrester, Busbar Sisir dan lainnya.Untuk informasi lebih lengkap silahkan hubungi kami : 021 2951 8498 021 2951 8499021 2951 8522021 2951 8533021 2903 8721021 2903 87220812-6467-968 (Whatsap)info@oscartunastama.com ","Jl. Kapuk Raya Cengkareng Blok L No. 17-18, Ruko City Park, Jakarta Barat, Jakarta Barat, DKI Jakarta, Indonesia",+62 895-3593-98585
 PT Indoreka Duta Multisukses,Gold Member,Adaptor dan Socket (414),"  Profil Perusahaan  Indoreka Duta Multisukses sebagai distributor peralatan elektrikal Explosion Proof untuk Oil And Gas (Gas hydrogen, Acytiline, Propane, Metane, dll), Refinery, Petrochemical, Offshore And Onshore, Storage  Bulk  LPG , LNG , SPPBE dan daerah berbahaya lainnya. 
Yang meliputi :
-     Lampu Explosion Proof :
- Lampu TL(Fluorescent) Explosion Proof                    -  Lampu Gantung Explosion Proof
- Lampu Sorot Exposion Proof (Flood Light)                -  Vessel Tank (Tangki) Explosion Proof
- Lampu Portable/Senter Explosion Proof                     -  Lampu Emergency EXIT Explosion Proof
- Lampu Emergency Fluorescent Explosion Proof
- Lampu Jalan Explosion Proof-      Box Panel/Junction Box/Enclosure Explosion Proof :
- Box Panel / Junction Box Explosion Proof for Star Delta / Distribution Panel
- Terminal Box Explosion proof
- Junction Box / T Dust / Fitting Conduit Explosion proof
- Local Control Station Explosion Proof-      Control Station Explosion Proof :
- Push Button On-Off Explosion proof                            - Emergency Stop Explosion Proof (Flood Light)
- Rotary Switch (Selector Switch) Explosion Proof    - Plug And Socket /Receptacle Explosion Proof-      Electric Motor Explosion Proof :
- Three Phase Explosion proof (Foot / Flange Mounted)
- Single Phase Explosion proof (Foot / Flange Mounted)-      Accecories Explosion Proof:
- Cable Gland /Reducer/ Plug/ Elbow/ Sealing Fitting/ Flexible Conduit Explosion Proof,
- Sirine dan Warning Light Explosion Proof   - Telepon Explosion proof
- Blower Explosion Proof, Exhaust Fan Explosion Proof,Air Conditioner (AC) Explosion Proof
Brands :
-     ASP, FEAM, Nordland, Cortem, Hubbel Killark, CEAG Crouse Hinds ( Eropa – Amerika )
-     Warom, Xianghua, Nibbe, EEW-HRLM, dll  (China)
(Certified products according to ATEX,CENELEG,KEMA,INERIS,IEC and Europe,American,China Standard lainnya) ","Ruko Citra Harmoni Blok TC No. 27 JL. Raya Trosobo KM 19 Trosobo Kecamatan Taman, Kabupaten Sidoarjo- Jawa Timur 61257, Sidoarjo, Jawa Timur, Indonesia",+82 33-666-9669
 Indo Rolica Teknik,Gold Member,Adaptor dan Socket (414),"  Profil Perusahaan  Indo Rolica Teknik merupakan distributor supplier valve dan alat teknik untuk kebutuhan industri. Kami berbasis di Tangerang. Kami menyediakan berbagai macam valve seperti ball valve, gate valve, butterfly valve, check valve, needle valve, check valve, dan lain lainnya. Produk yang kami jual memiliki kualitas bagus dan harga yang terjangkau. ","Komp. Ruko Harmoni Mas Blok A No.10 Cimone Tangerang, Kota Tangerang, Banten, Indonesia",+62 811-1725-707
 PD. Anugerah Sejati,Gold Member,Adaptor dan Socket (414),"  Profil Perusahaan  Kami Pd. Anugerah Sejati Merupakan Agen Dan Distributor Untuk Produk, Contactor, Mccb, Mcb, Temperatur Control, Relay, Kabel Jembo, Kabel Supreme, Kabel Eterna, Kabel Super, Kabel Impor, Kabel Mitsuba, Kabel Skun, Kabel Lug, Box Panel, Kap Lampu, Lampu Emergency, Kabel Ties, Inverter, Converter, Socket Relay, Spiral, Stop Kontak Uticon, Stop Kontak Clipsal, Stop Kontak Broco, Timer Omron, Timer Schneider, Timer Anly, Timer Fotek, Timer Autonics, Overload Relay, Magnetic Switch, Rel Mcb, Busbar, Fitting, Kami Beralamat Di Ltc Glodok Lantai Ug Blok C2 No.2 ","GLODOK LTC Lt.UG Blok C2 No.2, Jakarta Barat, DKI Jakarta, Indonesia",+62 878-8280-8895
